id,label
1,9
2,9
3,1
4,4
5,7
6,4
7,0
8,1
9,8
10,0
11,6
12,3
13,9
14,1
15,3
16,7
17,3
18,3
19,0
20,7
21,4
22,7
23,9
24,5
25,6
26,5
27,4
28,9
29,2
30,5
31,3
32,4
33,5
34,4
35,0
36,8
37,6
38,0
39,2
40,2
41,7
42,6
43,6
44,9
45,4
46,7
47,2
48,7
49,6
50,1
51,5
52,5
53,4
54,1
55,1
56,3
57,6
58,3
59,4
60,8
61,2
62,9
63,5
64,4
65,6
66,5
67,1
68,1
69,8
70,6
71,0
72,9
73,4
74,2
75,7
76,0
77,0
78,5
79,4
80,9
81,6
82,2
83,6
84,9
85,2
86,1
87,9
88,5
89,1
90,0
91,0
92,1
93,9
94,4
95,9
96,6
97,0
98,3
99,7
100,1
101,6
102,0
103,7
104,3
105,1
106,9
107,4
108,0
109,3
110,4
111,1
112,4
113,3
114,7
115,7
116,2
117,1
118,4
119,0
120,5
121,9
122,6
123,1
124,8
125,8
126,7
127,3
128,0
129,2
130,5
131,2
132,6
133,3
134,7
135,3
136,5
137,6
138,1
139,6
140,2
141,1
142,0
143,0
144,5
145,3
146,8
147,1
148,4
149,1
150,4
151,3
152,5
153,3
154,8
155,5
156,0
157,5
158,0
159,6
160,3
161,8
162,2
163,6
164,2
165,3
166,7
167,1
168,0
169,9
170,0
171,8
172,6
173,3
174,8
175,9
176,3
177,8
178,0
179,4
180,0
181,4
182,3
183,1
184,0
185,8
186,1
187,8
188,1
189,4
190,6
191,0
192,0
193,8
194,2
195,9
196,0
197,8
198,6
199,5
200,8
201,1
202,1
203,5
204,1
205,3
206,9
207,1
208,5
209,9
210,2
211,7
212,9
213,9
214,5
215,1
216,3
217,8
218,9
219,3
220,0
221,0
222,9
223,6
224,5
225,7
226,6
227,6
228,3
229,9
230,2
231,9
232,5
233,0
234,1
235,2
236,3
237,7
238,8
239,5
240,5
241,1
242,7
243,3
244,3
245,3
246,3
247,0
248,4
249,5
250,7
251,4
252,7
253,2
254,5
255,4
256,9
257,2
258,1
259,1
260,9
261,0
262,3
263,3
264,7
265,4
266,5
267,2
268,9
269,0
270,5
271,4
272,7
273,0
274,3
275,5
276,6
277,4
278,3
279,6
280,1
281,3
282,7
283,5
284,2
285,1
286,3
287,7
288,7
289,0
290,2
291,3
292,4
293,9
294,9
295,4
296,3
297,1
298,3
299,4
300,3
301,5
302,0
303,8
304,1
305,2
306,2
307,7
308,0
309,2
310,3
311,3
312,8
313,2
314,2
315,5
316,5
317,7
318,7
319,3
320,0
321,1
322,2
323,6
324,3
325,1
326,4
327,5
328,0
329,1
330,7
331,3
332,7
333,6
334,5
335,0
336,0
337,2
338,5
339,3
340,7
341,2
342,0
343,5
344,4
345,5
346,2
347,7
348,1
349,0
350,5
351,3
352,5
353,5
354,5
355,6
356,4
357,5
358,6
359,3
360,0
361,2
362,6
363,9
364,1
365,2
366,9
367,0
368,3
369,9
370,3
371,5
372,5
373,1
374,1
375,5
376,5
377,6
378,9
379,2
380,1
381,6
382,7
383,2
384,2
385,0
386,3
387,2
388,7
389,3
390,5
391,6
392,5
393,6
394,3
395,6
396,4
397,4
398,5
399,5
400,7
401,6
402,0
403,5
404,7
405,5
406,7
407,1
408,3
409,6
410,1
411,5
412,2
413,3
414,2
415,6
416,0
417,3
418,6
419,5
420,7
421,4
422,5
423,9
424,2
425,6
426,5
427,2
428,7
429,0
430,8
431,4
432,7
433,9
434,4
435,0
436,0
437,9
438,6
439,6
440,6
441,0
442,0
443,3
444,6
445,0
446,4
447,6
448,0
449,5
450,3
451,7
452,6
453,6
454,7
455,1
456,2
457,2
458,1
459,6
460,5
461,8
462,4
463,6
464,3
465,0
466,5
467,2
468,9
469,2
470,2
471,6
472,6
473,6
474,2
475,1
476,8
477,4
478,7
479,1
480,4
481,1
482,2
483,7
484,2
485,8
486,0
487,2
488,9
489,4
490,5
491,2
492,3
493,1
494,1
495,1
496,7
497,3
498,7
499,7
500,3
501,7
502,0
503,8
504,2
505,9
506,3
507,1
508,6
509,7
510,0
511,8
512,3
513,5
514,5
515,4
516,5
517,1
518,9
519,5
520,5
521,9
522,4
523,2
524,8
525,4
526,3
527,7
528,2
529,1
530,0
531,1
532,6
533,9
534,6
535,0
536,4
537,3
538,1
539,1
540,7
541,4
542,9
543,9
544,3
545,0
546,6
547,6
548,3
549,7
550,4
551,9
552,8
553,1
554,9
555,0
556,2
557,1
558,4
559,5
560,6
561,0
562,0
563,4
564,8
565,1
566,1
567,1
568,3
569,4
570,7
571,6
572,1
573,7
574,9
575,6
576,4
577,6
578,7
579,2
580,4
581,0
582,5
583,2
584,3
585,4
586,3
587,1
588,6
589,7
590,5
591,7
592,5
593,7
594,6
595,4
596,3
597,7
598,5
599,5
600,5
601,2
602,5
603,8
604,1
605,3
606,6
607,1
608,6
609,5
610,0
611,1
612,3
613,5
614,2
615,9
616,0
617,2
618,5
619,6
620,9
621,5
622,3
623,4
624,8
625,2
626,2
627,9
